2023-05-01 13:22:58,192 | WARN  | Connection attempt from non AMQP v1.0 client. GET,32,47,32HT | org.apache.activemq.transport.amqp.protocol.AmqpConnection | ActiveMQ Transport: tcp:///162.142.125.217:48602@5672
2023-05-01 13:22:58,193 | WARN  | Transport Connection to: tcp://162.142.125.217:48602 failed: org.apache.activemq.transport.amqp.AmqpProtocolException: Connection from client using unsupported AMQP attempted | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///162.142.125.217:48602@5672
2023-05-01 15:50:08,649 | WARN  | Transport Connection to: tcp://87.236.176.103:35625 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///87.236.176.103:35625@61616
2023-05-01 16:12:28,165 | WARN  | Transport Connection to: tcp://65.49.20.69:7004 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///65.49.20.69:7004@1883
2023-05-01 16:22:48,135 | WARN  | Connection attempt from non AMQP v1.0 client. AMQP,0,0,9,1 | org.apache.activemq.transport.amqp.protocol.AmqpConnection | ActiveMQ Transport: tcp:///64.62.197.92:11194@5672
2023-05-01 16:22:48,136 | WARN  | Transport Connection to: tcp://64.62.197.92:11194 failed: org.apache.activemq.transport.amqp.AmqpProtocolException: Connection from client using unsupported AMQP attempted | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///64.62.197.92:11194@5672
2023-05-01 22:08:17,915 | WARN  | Transport Connection to: tcp://104.152.52.206:58828 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://104.152.52.206:58828 | org.apache.activemq.broker.TransportConnection.Transport | AmqpInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@36ec31b4[State = -1, empty queue]
2023-05-01 23:40:16,898 | WARN  | Connection attempt from non AMQP v1.0 client. MGLNDD,95,49 | org.apache.activemq.transport.amqp.protocol.AmqpConnection | ActiveMQ Transport: tcp:///192.241.237.19:43962@5672
2023-05-01 23:40:16,899 | WARN  | Transport Connection to: tcp://192.241.237.19:43962 failed: org.apache.activemq.transport.amqp.AmqpProtocolException: Connection from client using unsupported AMQP attempted | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///192.241.237.19:43962@5672
2023-05-02 00:59:26,630 | WARN  | Transport Connection to: tcp://184.105.139.67:47446 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///184.105.139.67:47446@1883
2023-05-02 03:41:50,276 | WARN  | Transport Connection to: tcp://107.170.234.14:46318 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///107.170.234.14:46318@5672
2023-05-02 03:45:36,029 | WARN  | Transport Connection to: tcp://167.94.146.58:54440 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///167.94.146.58:54440@1883
2023-05-02 06:06:25,841 | WARN  | Connection attempt from non AMQP v1.0 client. AMQP,2,1,0,0 | org.apache.activemq.transport.amqp.protocol.AmqpConnection | ActiveMQ Transport: tcp:///167.248.133.34:54034@5672
2023-05-02 06:06:25,842 | WARN  | Transport Connection to: tcp://167.248.133.34:54034 failed: org.apache.activemq.transport.amqp.AmqpProtocolException: Connection from client using unsupported AMQP attempted | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///167.248.133.34:54034@5672
2023-05-02 06:22:36,451 | WARN  | Connection attempt from non AMQP v1.0 client. AMQP,0,0,9,1 | org.apache.activemq.transport.amqp.protocol.AmqpConnection | ActiveMQ Transport: tcp:///205.210.31.3:61656@5672
2023-05-02 06:22:36,452 | WARN  | Transport Connection to: tcp://205.210.31.3:61656 failed: org.apache.activemq.transport.amqp.AmqpProtocolException: Connection from client using unsupported AMQP attempted | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///205.210.31.3:61656@5672
2023-05-02 07:19:40,564 | WARN  | Transport Connection to: tcp://162.142.125.13:48108 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///162.142.125.13:48108@1883
2023-05-02 09:39:56,493 | WARN  | Connection attempt from non AMQP v1.0 client. AMQP,0,0,9,1 | org.apache.activemq.transport.amqp.protocol.AmqpConnection | ActiveMQ Transport: tcp:///198.235.24.234:59904@5672
2023-05-02 09:39:56,494 | WARN  | Transport Connection to: tcp://198.235.24.234:59904 failed: org.apache.activemq.transport.amqp.AmqpProtocolException: Connection from client using unsupported AMQP attempted | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///198.235.24.234:59904@5672
2023-05-02 11:26:34,009 | WARN  | Transport Connection to: tcp://103.206.134.239:52745 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///103.206.134.239:52745@61616
2023-05-02 11:46:44,024 | WARN  | Transport Connection to: tcp://103.206.134.239:52746 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://103.206.134.239:52746 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 12:37:13,743 | WARN  | Transport Connection to: tcp://103.206.134.239:52494 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///103.206.134.239:52494@61616
2023-05-02 15:11:36,020 | WARN  | Transport Connection to: tcp://18.192.220.39:34540 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34540 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:45,424 | WARN  | Transport Connection to: tcp://18.192.220.39:34980 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34980 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:43,041 | WARN  | Transport Connection to: tcp://18.192.220.39:34926 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34926 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:39,639 | WARN  | Transport Connection to: tcp://18.192.220.39:33480 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33480 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:15:45,496 | WARN  | Transport Connection to: tcp://18.192.220.39:33476 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33476 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:15:42,305 | WARN  | Transport Connection to: tcp://18.192.220.39:34406 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34406 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:14:43,741 | WARN  | Transport Connection to: tcp://18.192.220.39:34318 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34318 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:14:43,741 | WARN  | Transport Connection to: tcp://18.192.220.39:33706 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33706 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:14:38,840 | WARN  | Transport Connection to: tcp://18.192.220.39:34386 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34386 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:13:52,979 | WARN  | Transport Connection to: tcp://18.192.220.39:34484 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34484 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:13:45,889 | WARN  | Transport Connection to: tcp://18.192.220.39:34402 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34402 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:13:00,648 | WARN  | Transport Connection to: tcp://18.192.220.39:34422 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34422 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
